node,centrality,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
11540715700,eigenvector,,,,,,,,,,,,,
11540715700,eigenvector_rank,,,,,,,,,,,,,
11540715700,giant,0.0,0.0,0.0,,,,,,,,,,
11540715700,num_2nd_neighbors,0.0,0.0,0.0,,,,,,,,,,
11541038800,betweenness,,,,,,,,,,,,,
11541038800,betweenness_rank,,,,,,,,,,,,,
11541038800,closeness,,,,,,,,,,,,,
11541038800,degree,,,,,,,,,,,,1.0,1.0
11541038800,eigenvector,,,,,,,,,,,,,
11541038800,eigenvector_rank,,,,,,,,,,,,,
11541038800,giant,,,,,,,,,,,,0.0,0.0
11541038800,num_2nd_neighbors,,,,,,,,,,,,0.0,0.0
11639308800,betweenness,,,,,,,,,,,,,
11639308800,betweenness_rank,,,,,,,,,,,,,
11639308800,closeness,,,,,,,,,,,,,
11639308800,degree,,,,,,,1.0,1.0,1.0,,,,
11639308800,eigenvector,,,,,,,,,,,,,
11639308800,eigenvector_rank,,,,,,,,,,,,,
11639308800,giant,,,,,,,0.0,0.0,0.0,,,,
11639308800,num_2nd_neighbors,,,,,,,0.0,0.0,0.0,,,,
11640168300,betweenness,,,,,,,,0.06970740103270223,,,,,
11640168300,betweenness_rank,,,,,,,,25.0,,,,,
11640168300,closeness,,,,,,,,0.11214953271028037,,,,,
11640168300,degree,,,,,,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0
11640168300,eigenvector,,,,,,,,5.57064114922886e-06,,,,,
11640168300,eigenvector_rank,,,,,,,,80.0,,,,,
11640168300,giant,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11640168300,num_2nd_neighbors,,,,,,1.0,4.0,7.0,4.0,5.0,2.0,1.0,1.0
11640331600,betweenness,,,,,,,,,,,,,
11640331600,betweenness_rank,,,,,,,,,,,,,
11640331600,closeness,,,,,,,,,,,,,
11640331600,degree,,,,,,,,,,,,,2.0
11640331600,eigenvector,,,,,,,,,,,,,
11640331600,eigenvector_rank,,,,,,,,,,,,,
11640331600,giant,,,,,,,,,,,,,0.0
11640331600,num_2nd_neighbors,,,,,,,,,,,,,1.0
